video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa,session,hotspot_area,hotspot_avg_temp_change_rate_initial,hotspot_avg_temp_change_magnitude_initial,peak_pixel_temp_change_rate_initial,peak_pixel_temp_change_magnitude_initial,temp_mean_avg_initial,temp_std_avg_initial,temp_min_overall_initial,temp_max_overall_initial,stabilized_mean_deltaT,overall_mean_deltaT,max_abs_mean_deltaT,stabilized_std_deltaT,overall_std_deltaT,hotspot_solidity,time_to_peak_mean_temp,temperature_skewness,temperature_kurtosis,bbox_area,bbox_aspect_ratio,cumulative_raw_delta_sum,cumulative_abs_delta_sum,auc_mean_temp_delta,mean_pixel_volatility
T2.8V_2025-07-25-19-06-06_20_34_14_,1,1.13921,gypsum,14.0,2.8,13.0,gypsum_new,363,0.0354361975760361,0.3509000983119996,0.1020663125174386,1.0870895385742188,22.91658653637595,0.6002028183219378,22.248804092407227,25.45030403137207,0.5818191825332406,0.4084738892344181,0.6247256360434967,0.7297270535316249,0.6788211337057573,1.069219440353461,9.8,1.7913444676924912,2.6759496260244644,440,0.9090909090909092,3683.6551551818848,3755.385116577149,1.9944720591395309,1.941229702027376
T3.0V_2025-07-28-16-17-19_20_26_6_,1,1.28246,gypsum,6.0,3.0,16.0,gypsum_new,184,0.0193227195869322,0.2153305592744239,0.0339484214782715,0.2584114074707031,22.890103542493733,0.277366452617586,22.345291137695312,23.808364868164062,0.2998419852769605,0.2251070966582352,0.3215100765228271,0.3076869169215097,0.2923604230921924,1.0855457227138643,9.2,1.0239124054567033,0.2224410394796372,240,0.9375,1298.7114448547363,1332.6481323242188,1.390109818914648,2.072504810664965
T3.0V_2025-07-29-15-45-24_20_28_8_,1,1.28246,gypsum,8.0,3.0,16.0,gypsum_new,190,0.0291308352821761,0.3346613633005226,0.0533968607584635,0.5208683013916016,24.02426425712987,0.5226398696232637,23.16841506958008,25.690277099609375,0.4582384022319075,0.3501150149295194,0.4780615856772954,0.546770503666492,0.5387497391030532,1.1078717201166182,9.8,1.0257484920123148,0.232782829955596,238,0.8235294117647058,2028.8117580413816,2043.293119430542,2.1021251879240253,1.9069400586579976
T3.0V_2025-07-28-16-03-14_20_30_10_,1,1.28246,gypsum,10.0,3.0,16.0,gypsum_new,285,0.0173121312905474,0.169421620954548,0.0523725237165178,0.4621429443359375,22.727802446465745,0.3401269634687843,22.20741271972656,23.971080780029297,0.3204128311171324,0.2220376824719173,0.3456948732074956,0.4177705130532076,0.3844055171347825,1.0614525139664803,7.4,1.375384835174024,1.3177918199961534,380,0.95,1862.8918056488037,1962.4885807037351,1.290350333096694,1.956718023199784
T3.0V_2025-07-28-15-54-48_20_34_14_,1,1.28246,gypsum,14.0,3.0,16.0,gypsum_new,283,0.0265563535573655,0.2881643005478906,0.0813522338867187,0.8561305999755859,22.6326394556268,0.37951771249556,22.0693416595459,24.147066116333008,0.4783930245531247,0.3421219333069058,0.5124586664745756,0.4886164745611482,0.4408531629257122,1.0740037950664136,9.6,1.4601153441209709,1.5777050677063986,360,0.9,2520.436363220215,2574.4662132263184,1.7524106817616132,2.047501385422562
temp_2025-3-7-19-45-8_21.4_26_4.6_,1,0.49703,gypsum,4.6,1.6,3.3,gypsum_old,219,0.0136787122899065,0.1452233214356582,0.0355361756824286,0.4203968048095987,23.024562473906773,0.2968994504069945,22.5792198181152,24.1335315704346,0.2011285209793245,0.1439167734549619,0.2155034748930866,0.3371188076500352,0.3191659802317819,1.0814814814814817,8.2,1.2406742097246568,0.7281468668265383,304,0.8421052631578947,812.7665958404284,930.530687332116,0.7287333545074847,1.897156362664109
temp_2025-3-7-19-36-44_21.4_27.5_6.1_,1,0.49703,gypsum,6.1,1.6,3.3,gypsum_old,251,0.0107340413735693,0.1055880086830463,0.0287852287292498,0.3116836547850994,22.964485091859125,0.3061906846643917,22.5104694366455,24.1335315704346,0.2834579500169146,0.192549493847931,0.3004955808479899,0.3608428965810461,0.3376670222109065,1.0680851063829788,9.6,1.50469393156266,1.6205645455667197,324,1.0,820.2485008239804,1021.1866416931084,0.643025661939645,1.980364218176063
temp_2025-3-7-19-26-18_21.4_30_8.6_,1,0.49703,gypsum,8.6,1.6,3.3,gypsum_old,184,0.0171844181807146,0.1730790034584401,0.0405410130818667,0.4327850341797017,23.229276250134344,0.3421045999631314,22.7302875518799,24.390209197998,0.275490747709306,0.1972473989707926,0.2965365596439646,0.4120036385012637,0.3814905507831875,1.0985074626865672,9.6,1.2169567046373122,0.6781055888246055,240,1.0666666666666669,943.4007396698004,1063.726274490366,1.0081276862517718,1.9492565341618584
temp_2025-3-7-17-45-42_21.4_26_4.6_,1,0.645,gypsum,4.6,1.8,5.0,gypsum_old,233,0.009665004855744,0.1006596446548862,0.0225946638319444,0.2438144683837997,23.114506318088253,0.3052253675695711,22.6616477966309,24.1605892181396,0.1783716017811708,0.1236374824753212,0.1957733088808595,0.3440424655880103,0.3285292520587158,1.0812064965197217,9.6,1.3524097824474586,1.0047157210348558,288,0.8888888888888888,732.6748104095167,891.9103374480912,0.6188394521950298,1.980523285435919
temp_2025-3-7-17-37-1_21.4_27.5_6.1_,1,0.645,gypsum,6.1,1.8,5.0,gypsum_old,222,0.0139771665425707,0.1714973621540281,0.0381979735001304,0.4333820343017009,23.144384345149128,0.3299293501809305,22.6341743469238,24.3092231750488,0.2007263569314185,0.1590614480370964,0.2240777316394258,0.3855947918559554,0.36366308690613,1.0855745721271393,9.6,1.286913077493672,0.8448221002472383,272,0.9411764705882352,1281.6060504913462,1365.4034748077338,1.137450309272304,2.0301430332767647
